round,accuracy,client_reward,server_reward,pre_losses,post_losses
62,0.991400,0.000283,-0.000600,"0.004295,0.000001,0.002292,0.008346,0.011709,0.020653,0.003025,0.007186,0.026877,0.010920","0.022797,0.068193,0.000001,0.000022,0.000014,0.000000,0.000002,0.000195,0.000594,0.000011"
63,0.991500,0.009524,0.000100,"0.008814,0.000005,0.004137,0.007538,0.009952,0.019819,0.002589,0.009056,0.030464,0.010869","0.000006,0.000001,0.000003,0.005303,0.000000,0.000045,0.002560,0.000000,0.000000,0.000000"
64,0.991500,0.007218,0.000000,"0.010014,0.000111,0.000737,0.005987,0.008656,0.012598,0.000459,0.003640,0.014740,0.015308","0.000008,0.000001,0.000002,0.000000,0.000000,0.000018,0.000000,0.000000,0.000000,0.000006"
65,0.991900,-0.007174,0.000400,"0.007190,0.000043,0.000586,0.003499,0.005962,0.009150,0.000300,0.002975,0.010676,0.011451","0.000005,0.000000,0.000003,0.004037,0.001182,0.000018,0.000076,0.000000,0.000006,0.117152"
66,0.992100,0.004357,0.000200,"0.007165,0.000045,0.001720,0.005293,0.004530,0.011544,0.000766,0.002842,0.012598,0.009090","0.007271,0.003215,0.000000,0.000000,0.000003,0.000018,0.000000,0.000016,0.001480,0.000000"
67,0.991300,0.005858,-0.000800,"0.007478,0.000001,0.002408,0.008091,0.009442,0.022918,0.002151,0.005239,0.019653,0.013426","0.019984,0.000000,0.000002,0.011785,0.000000,0.000002,0.000001,0.000000,0.000006,0.000345"
68,0.991800,0.007132,0.000500,"0.003912,0.000000,0.004802,0.006342,0.011102,0.021864,0.001504,0.004308,0.016858,0.007747","0.000000,0.000000,0.002730,0.000000,0.000000,0.000000,0.000004,0.004327,0.000000,0.000004"
69,0.991800,0.003550,0.000000,"0.002903,0.000004,0.001703,0.005236,0.006002,0.009007,0.002084,0.002984,0.011519,0.003911","0.000000,0.000001,0.009806,0.000000,0.000000,0.000000,0.000000,0.000006,0.000011,0.000006"
70,0.991800,0.001422,0.000000,"0.003939,0.000326,0.000267,0.004811,0.004807,0.009200,0.000689,0.002284,0.008741,0.005829","0.000005,0.010065,0.016492,0.000013,0.000002,0.000022,0.000000,0.000001,0.000000,0.000010"
71,0.991900,0.005597,0.000100,"0.004189,0.000163,0.001477,0.006886,0.006632,0.015473,0.002090,0.001279,0.012255,0.007239","0.000000,0.001673,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,0.000006"
72,0.992000,0.006381,0.000100,"0.007645,0.000000,0.002090,0.004567,0.009023,0.019870,0.000245,0.007271,0.024821,0.012201","0.000000,0.000000,0.000000,0.000008,0.000011,0.000013,0.002972,0.017372,0.000002,0.003454"
73,0.991500,0.007075,-0.000500,"0.007013,0.000000,0.000876,0.008477,0.007824,0.019807,0.000309,0.002058,0.018288,0.008024","0.000000,0.000000,0.000999,0.000006,0.000006,0.000013,0.000001,0.000116,0.000000,0.000743"
74,0.991800,0.004759,0.000300,"0.005220,0.000022,0.000116,0.007570,0.013094,0.013903,0.000285,0.000976,0.014890,0.003610","0.002804,0.000016,0.000001,0.000011,0.000725,0.000000,0.008463,0.000028,0.000000,0.000004"
75,0.991800,0.006137,0.000000,"0.004899,0.000038,0.004929,0.008578,0.002896,0.014021,0.000097,0.003770,0.021736,0.002564","0.000000,0.002070,0.000001,0.000000,0.000006,0.000001,0.000018,0.000017,0.000001,0.000002"
76,0.992200,0.010756,0.000400,"0.010584,0.000002,0.003418,0.014132,0.007696,0.012894,0.001093,0.006532,0.047425,0.004791","0.000002,0.000000,0.000001,0.000079,0.000000,0.000748,0.000001,0.000000,0.000000,0.000004"
77,0.991800,0.009357,-0.000400,"0.010807,0.000002,0.002490,0.014230,0.006026,0.013105,0.000060,0.001966,0.035230,0.013637","0.000877,0.000000,0.000001,0.000000,0.002999,0.000000,0.000001,0.000001,0.000000,0.000000"
78,0.992500,0.005744,0.000700,"0.004432,0.000012,0.003435,0.009005,0.003646,0.010141,0.000160,0.001806,0.020885,0.003974","0.000006,0.000000,0.000000,0.000000,0.000000,0.000017,0.000000,0.000000,0.000000,0.000000"
79,0.991900,0.007265,-0.000600,"0.005485,0.000003,0.002663,0.013167,0.006390,0.014613,0.000027,0.002107,0.028186,0.005187","0.000000,0.000000,0.000001,0.000000,0.001217,0.000006,0.000002,0.002085,0.000000,0.001799"
